sessionnumb  20260923124642 
15 16 434 [ [ -2, 15 ], [ 1, 92 ], [ 3, 118 ] ] 
16 17 481 [ [ -2, 16 ], [ 1, 106 ], [ 3, 134 ] ] 
15 16 314 [ [ -2, 15 ], [ 1, 92 ], [ 3, 118 ] ] 
15 16 427 [ [ -2, 15 ], [ 1, 100 ], [ 3, 110 ] ] 
16 17 591 [ [ -2, 16 ], [ 1, 116 ], [ 3, 124 ] ] 
17 18 715 [ [ -2, 17 ], [ 1, 138 ], [ 3, 134 ] ] 
16 17 591 [ [ -2, 16 ], [ 1, 114 ], [ 3, 126 ] ] 
15 16 357 [ [ -2, 15 ], [ 1, 98 ], [ 3, 112 ] ] 
16 17 591 [ [ -2, 16 ], [ 1, 112 ], [ 3, 128 ] ] 
17 18 715 [ [ -2, 17 ], [ 1, 130 ], [ 3, 142 ] ] 
15 16 357 [ [ -2, 15 ], [ 1, 98 ], [ 3, 112 ] ] 
16 17 362 [ [ -2, 16 ], [ 1, 120 ], [ 3, 120 ] ] 
16 17 595 [ [ -2, 16 ], [ 1, 116 ], [ 3, 124 ] ] 
17 18 399 [ [ -2, 17 ], [ 1, 128 ], [ 3, 144 ] ] 
17 18 399 [ [ -2, 17 ], [ 1, 136 ], [ 3, 136 ] ] 
17 18 369 [ [ -2, 17 ], [ 1, 122 ], [ 3, 150 ] ] 
17 18 431 [ [ -2, 17 ], [ 1, 128 ], [ 3, 144 ] ] 
16 17 378 [ [ -2, 16 ], [ 1, 112 ], [ 3, 128 ] ] 
17 18 428 [ [ -2, 17 ], [ 1, 132 ], [ 3, 140 ] ] 
17 18 431 [ [ -2, 17 ], [ 1, 124 ], [ 3, 148 ] ] 
17 18 431 [ [ -2, 17 ], [ 1, 124 ], [ 3, 148 ] ] 
17 18 413 [ [ -2, 17 ], [ 1, 122 ], [ 3, 150 ] ] 
16 17 485 [ [ -2, 16 ], [ 1, 112 ], [ 3, 128 ] ] 
16 17 485 [ [ -2, 16 ], [ 1, 112 ], [ 3, 128 ] ] 
16 17 381 [ [ -2, 16 ], [ 1, 124 ], [ 3, 116 ] ] 
16 17 381 [ [ -2, 16 ], [ 1, 106 ], [ 3, 134 ] ] 
16 17 451 [ [ -2, 16 ], [ 1, 106 ], [ 3, 134 ] ] 
16 17 443 [ [ -2, 16 ], [ 1, 104 ], [ 3, 136 ] ] 
14 15 310 [ [ -2, 14 ], [ 1, 84 ], [ 3, 98 ] ] 
16 17 755 [ [ -2, 16 ], [ 1, 104 ], [ 3, 136 ] ] 
16 17 484 [ [ -2, 16 ], [ 1, 124 ], [ 3, 116 ] ] 
16 17 430 [ [ -2, 16 ], [ 1, 130 ], [ 3, 110 ] ] 
16 17 328 [ [ -2, 16 ], [ 1, 116 ], [ 3, 124 ] ] 
16 17 370 [ [ -2, 16 ], [ 1, 110 ], [ 3, 130 ] ] 
