sessionnumb  20260923124727 
15 16 353 [ [ -2, 15 ], [ 1, 108 ], [ 3, 102 ] ] 
15 16 446 [ [ -2, 15 ], [ 1, 86 ], [ 3, 124 ] ] 
15 16 353 [ [ -2, 15 ], [ 1, 96 ], [ 3, 114 ] ] 
16 17 382 [ [ -2, 16 ], [ 1, 112 ], [ 3, 128 ] ] 
15 16 352 [ [ -2, 15 ], [ 1, 92 ], [ 3, 118 ] ] 
15 16 401 [ [ -2, 15 ], [ 1, 90 ], [ 3, 120 ] ] 
15 16 401 [ [ -2, 15 ], [ 1, 82 ], [ 3, 128 ] ] 
16 17 417 [ [ -2, 16 ], [ 1, 108 ], [ 3, 132 ] ] 
16 17 417 [ [ -2, 16 ], [ 1, 108 ], [ 3, 132 ] ] 
15 16 314 [ [ -2, 15 ], [ 1, 86 ], [ 3, 124 ] ] 
17 18 733 [ [ -2, 17 ], [ 1, 116 ], [ 3, 156 ] ] 
17 18 733 [ [ -2, 17 ], [ 1, 120 ], [ 3, 152 ] ] 
16 17 430 [ [ -2, 16 ], [ 1, 106 ], [ 3, 134 ] ] 
16 17 433 [ [ -2, 16 ], [ 1, 102 ], [ 3, 138 ] ] 
16 17 420 [ [ -2, 16 ], [ 1, 102 ], [ 3, 138 ] ] 
15 16 301 [ [ -2, 15 ], [ 1, 92 ], [ 3, 118 ] ] 
15 16 341 [ [ -2, 15 ], [ 1, 92 ], [ 3, 118 ] ] 
15 16 357 [ [ -2, 15 ], [ 1, 94 ], [ 3, 116 ] ] 
15 16 357 [ [ -2, 15 ], [ 1, 90 ], [ 3, 120 ] ] 
15 16 312 [ [ -2, 15 ], [ 1, 90 ], [ 3, 120 ] ] 
16 17 509 [ [ -2, 16 ], [ 1, 104 ], [ 3, 136 ] ] 
15 16 405 [ [ -2, 15 ], [ 1, 90 ], [ 3, 120 ] ] 
16 17 620 [ [ -2, 16 ], [ 1, 104 ], [ 3, 136 ] ] 
16 17 521 [ [ -2, 16 ], [ 1, 102 ], [ 3, 138 ] ] 
15 16 309 [ [ -2, 15 ], [ 1, 92 ], [ 3, 118 ] ] 
16 17 548 [ [ -2, 16 ], [ 1, 110 ], [ 3, 130 ] ] 
16 17 341 [ [ -2, 16 ], [ 1, 100 ], [ 3, 140 ] ] 
17 18 391 [ [ -2, 17 ], [ 1, 116 ], [ 3, 156 ] ] 
16 17 530 [ [ -2, 16 ], [ 1, 100 ], [ 3, 140 ] ] 
17 18 391 [ [ -2, 17 ], [ 1, 116 ], [ 3, 156 ] ] 
