sessionnumb  20260923124858 
18 19 468 [ [ -2, 18 ], [ 1, 148 ], [ 3, 158 ] ] 
18 19 468 [ [ -2, 18 ], [ 1, 146 ], [ 3, 160 ] ] 
16 17 362 [ [ -2, 16 ], [ 1, 112 ], [ 3, 128 ] ] 
16 17 490 [ [ -2, 16 ], [ 1, 118 ], [ 3, 122 ] ] 
17 18 665 [ [ -2, 17 ], [ 1, 136 ], [ 3, 136 ] ] 
16 17 490 [ [ -2, 16 ], [ 1, 112 ], [ 3, 128 ] ] 
17 18 665 [ [ -2, 17 ], [ 1, 124 ], [ 3, 148 ] ] 
16 17 321 [ [ -2, 16 ], [ 1, 124 ], [ 3, 116 ] ] 
16 17 321 [ [ -2, 16 ], [ 1, 124 ], [ 3, 116 ] ] 
17 18 594 [ [ -2, 17 ], [ 1, 140 ], [ 3, 132 ] ] 
16 17 397 [ [ -2, 16 ], [ 1, 112 ], [ 3, 128 ] ] 
17 18 669 [ [ -2, 17 ], [ 1, 130 ], [ 3, 142 ] ] 
17 18 333 [ [ -2, 17 ], [ 1, 134 ], [ 3, 138 ] ] 
16 17 673 [ [ -2, 16 ], [ 1, 118 ], [ 3, 122 ] ] 
16 17 357 [ [ -2, 16 ], [ 1, 120 ], [ 3, 120 ] ] 
17 18 613 [ [ -2, 17 ], [ 1, 142 ], [ 3, 130 ] ] 
17 18 613 [ [ -2, 17 ], [ 1, 130 ], [ 3, 142 ] ] 
16 17 347 [ [ -2, 16 ], [ 1, 130 ], [ 3, 110 ] ] 
17 18 442 [ [ -2, 17 ], [ 1, 154 ], [ 3, 118 ] ] 
16 17 347 [ [ -2, 16 ], [ 1, 124 ], [ 3, 116 ] ] 
16 17 599 [ [ -2, 16 ], [ 1, 126 ], [ 3, 114 ] ] 
15 16 317 [ [ -2, 15 ], [ 1, 110 ], [ 3, 100 ] ] 
15 16 421 [ [ -2, 15 ], [ 1, 108 ], [ 3, 102 ] ] 
16 17 688 [ [ -2, 16 ], [ 1, 114 ], [ 3, 126 ] ] 
16 17 688 [ [ -2, 16 ], [ 1, 116 ], [ 3, 124 ] ] 
15 16 345 [ [ -2, 15 ], [ 1, 100 ], [ 3, 110 ] ] 
17 18 379 [ [ -2, 17 ], [ 1, 126 ], [ 3, 146 ] ] 
17 18 543 [ [ -2, 17 ], [ 1, 118 ], [ 3, 154 ] ] 
16 17 304 [ [ -2, 16 ], [ 1, 118 ], [ 3, 122 ] ] 
16 17 335 [ [ -2, 16 ], [ 1, 112 ], [ 3, 128 ] ] 
16 17 696 [ [ -2, 16 ], [ 1, 118 ], [ 3, 122 ] ] 
17 18 1192 [ [ -2, 17 ], [ 1, 134 ], [ 3, 138 ] ] 
15 16 342 [ [ -2, 15 ], [ 1, 112 ], [ 3, 98 ] ] 
17 18 333 [ [ -2, 17 ], [ 1, 154 ], [ 3, 118 ] ] 
15 16 365 [ [ -2, 15 ], [ 1, 110 ], [ 3, 100 ] ] 
16 17 413 [ [ -2, 16 ], [ 1, 122 ], [ 3, 118 ] ] 
16 17 404 [ [ -2, 16 ], [ 1, 118 ], [ 3, 122 ] ] 
16 17 404 [ [ -2, 16 ], [ 1, 132 ], [ 3, 108 ] ] 
17 18 583 [ [ -2, 17 ], [ 1, 144 ], [ 3, 128 ] ] 
18 19 667 [ [ -2, 18 ], [ 1, 160 ], [ 3, 146 ] ] 
17 18 372 [ [ -2, 17 ], [ 1, 166 ], [ 3, 106 ] ] 
17 18 341 [ [ -2, 17 ], [ 1, 140 ], [ 3, 132 ] ] 
16 17 404 [ [ -2, 16 ], [ 1, 126 ], [ 3, 114 ] ] 
17 18 783 [ [ -2, 17 ], [ 1, 140 ], [ 3, 132 ] ] 
16 17 343 [ [ -2, 16 ], [ 1, 122 ], [ 3, 118 ] ] 
16 17 407 [ [ -2, 16 ], [ 1, 120 ], [ 3, 120 ] ] 
17 18 566 [ [ -2, 17 ], [ 1, 134 ], [ 3, 138 ] ] 
16 17 470 [ [ -2, 16 ], [ 1, 128 ], [ 3, 112 ] ] 
17 18 311 [ [ -2, 17 ], [ 1, 130 ], [ 3, 142 ] ] 
16 17 421 [ [ -2, 16 ], [ 1, 126 ], [ 3, 114 ] ] 
17 18 690 [ [ -2, 17 ], [ 1, 146 ], [ 3, 126 ] ] 
18 19 774 [ [ -2, 18 ], [ 1, 166 ], [ 3, 140 ] ] 
16 17 343 [ [ -2, 16 ], [ 1, 124 ], [ 3, 116 ] ] 
17 18 370 [ [ -2, 17 ], [ 1, 144 ], [ 3, 128 ] ] 
18 19 471 [ [ -2, 18 ], [ 1, 172 ], [ 3, 134 ] ] 
18 19 471 [ [ -2, 18 ], [ 1, 172 ], [ 3, 134 ] ] 
17 18 664 [ [ -2, 17 ], [ 1, 142 ], [ 3, 130 ] ] 
16 17 304 [ [ -2, 16 ], [ 1, 142 ], [ 3, 98 ] ] 
16 17 444 [ [ -2, 16 ], [ 1, 136 ], [ 3, 104 ] ] 
15 16 371 [ [ -2, 15 ], [ 1, 116 ], [ 3, 94 ] ] 
16 17 428 [ [ -2, 16 ], [ 1, 128 ], [ 3, 112 ] ] 
17 18 487 [ [ -2, 17 ], [ 1, 152 ], [ 3, 120 ] ] 
17 18 487 [ [ -2, 17 ], [ 1, 136 ], [ 3, 136 ] ] 
16 17 422 [ [ -2, 16 ], [ 1, 122 ], [ 3, 118 ] ] 
17 18 487 [ [ -2, 17 ], [ 1, 140 ], [ 3, 132 ] ] 
17 18 487 [ [ -2, 17 ], [ 1, 136 ], [ 3, 136 ] ] 
16 17 562 [ [ -2, 16 ], [ 1, 138 ], [ 3, 102 ] ] 
16 17 357 [ [ -2, 16 ], [ 1, 130 ], [ 3, 110 ] ] 
17 18 705 [ [ -2, 17 ], [ 1, 138 ], [ 3, 134 ] ] 
17 18 705 [ [ -2, 17 ], [ 1, 154 ], [ 3, 118 ] ] 
16 17 321 [ [ -2, 16 ], [ 1, 122 ], [ 3, 118 ] ] 
17 18 628 [ [ -2, 17 ], [ 1, 144 ], [ 3, 128 ] ] 
18 19 368 [ [ -2, 18 ], [ 1, 144 ], [ 3, 162 ] ] 
17 18 336 [ [ -2, 17 ], [ 1, 134 ], [ 3, 138 ] ] 
18 19 368 [ [ -2, 18 ], [ 1, 158 ], [ 3, 148 ] ] 
17 18 450 [ [ -2, 17 ], [ 1, 126 ], [ 3, 146 ] ] 
17 18 721 [ [ -2, 17 ], [ 1, 128 ], [ 3, 144 ] ] 
17 18 384 [ [ -2, 17 ], [ 1, 128 ], [ 3, 144 ] ] 
17 18 384 [ [ -2, 17 ], [ 1, 128 ], [ 3, 144 ] ] 
17 18 551 [ [ -2, 17 ], [ 1, 148 ], [ 3, 124 ] ] 
17 18 627 [ [ -2, 17 ], [ 1, 140 ], [ 3, 132 ] ] 
17 18 551 [ [ -2, 17 ], [ 1, 148 ], [ 3, 124 ] ] 
17 18 354 [ [ -2, 17 ], [ 1, 132 ], [ 3, 140 ] ] 
17 18 450 [ [ -2, 17 ], [ 1, 126 ], [ 3, 146 ] ] 
18 19 947 [ [ -2, 18 ], [ 1, 146 ], [ 3, 160 ] ] 
18 19 947 [ [ -2, 18 ], [ 1, 148 ], [ 3, 158 ] ] 
18 19 947 [ [ -2, 18 ], [ 1, 138 ], [ 3, 168 ] ] 
17 18 349 [ [ -2, 17 ], [ 1, 126 ], [ 3, 146 ] ] 
18 19 667 [ [ -2, 18 ], [ 1, 142 ], [ 3, 164 ] ] 
17 18 367 [ [ -2, 17 ], [ 1, 134 ], [ 3, 138 ] ] 
17 18 322 [ [ -2, 17 ], [ 1, 126 ], [ 3, 146 ] ] 
17 18 322 [ [ -2, 17 ], [ 1, 142 ], [ 3, 130 ] ] 
17 18 450 [ [ -2, 17 ], [ 1, 158 ], [ 3, 114 ] ] 
17 18 385 [ [ -2, 17 ], [ 1, 144 ], [ 3, 128 ] ] 
17 18 610 [ [ -2, 17 ], [ 1, 134 ], [ 3, 138 ] ] 
16 17 483 [ [ -2, 16 ], [ 1, 124 ], [ 3, 116 ] ] 
16 17 329 [ [ -2, 16 ], [ 1, 114 ], [ 3, 126 ] ] 
18 19 818 [ [ -2, 18 ], [ 1, 138 ], [ 3, 168 ] ] 
16 17 329 [ [ -2, 16 ], [ 1, 114 ], [ 3, 126 ] ] 
17 18 315 [ [ -2, 17 ], [ 1, 130 ], [ 3, 142 ] ] 
16 17 329 [ [ -2, 16 ], [ 1, 106 ], [ 3, 134 ] ] 
16 17 435 [ [ -2, 16 ], [ 1, 114 ], [ 3, 126 ] ] 
16 17 329 [ [ -2, 16 ], [ 1, 116 ], [ 3, 124 ] ] 
17 18 454 [ [ -2, 17 ], [ 1, 140 ], [ 3, 132 ] ] 
17 18 520 [ [ -2, 17 ], [ 1, 134 ], [ 3, 138 ] ] 
16 17 363 [ [ -2, 16 ], [ 1, 122 ], [ 3, 118 ] ] 
16 17 323 [ [ -2, 16 ], [ 1, 118 ], [ 3, 122 ] ] 
17 18 529 [ [ -2, 17 ], [ 1, 140 ], [ 3, 132 ] ] 
17 18 529 [ [ -2, 17 ], [ 1, 128 ], [ 3, 144 ] ] 
