sessionnumb  20260924122223 
16 17 451 [ [ -2, 16 ], [ 1, 126 ], [ 3, 114 ] ] 
15 16 465 [ [ -2, 15 ], [ 1, 96 ], [ 3, 114 ] ] 
16 17 406 [ [ -2, 16 ], [ 1, 122 ], [ 3, 118 ] ] 
17 18 683 [ [ -2, 17 ], [ 1, 134 ], [ 3, 138 ] ] 
16 17 438 [ [ -2, 16 ], [ 1, 126 ], [ 3, 114 ] ] 
16 17 485 [ [ -2, 16 ], [ 1, 122 ], [ 3, 118 ] ] 
18 19 522 [ [ -2, 18 ], [ 1, 156 ], [ 3, 150 ] ] 
16 17 410 [ [ -2, 16 ], [ 1, 118 ], [ 3, 122 ] ] 
17 18 537 [ [ -2, 17 ], [ 1, 130 ], [ 3, 142 ] ] 
16 17 465 [ [ -2, 16 ], [ 1, 114 ], [ 3, 126 ] ] 
17 18 446 [ [ -2, 17 ], [ 1, 138 ], [ 3, 134 ] ] 
17 18 422 [ [ -2, 17 ], [ 1, 146 ], [ 3, 126 ] ] 
16 17 416 [ [ -2, 16 ], [ 1, 114 ], [ 3, 126 ] ] 
16 17 417 [ [ -2, 16 ], [ 1, 108 ], [ 3, 132 ] ] 
17 18 526 [ [ -2, 17 ], [ 1, 112 ], [ 3, 160 ] ] 
17 18 587 [ [ -2, 17 ], [ 1, 114 ], [ 3, 158 ] ] 
16 17 415 [ [ -2, 16 ], [ 1, 118 ], [ 3, 122 ] ] 
17 18 522 [ [ -2, 17 ], [ 1, 134 ], [ 3, 138 ] ] 
16 17 416 [ [ -2, 16 ], [ 1, 118 ], [ 3, 122 ] ] 
17 18 401 [ [ -2, 17 ], [ 1, 132 ], [ 3, 140 ] ] 
17 18 938 [ [ -2, 17 ], [ 1, 144 ], [ 3, 128 ] ] 
16 17 428 [ [ -2, 16 ], [ 1, 110 ], [ 3, 130 ] ] 
16 17 479 [ [ -2, 16 ], [ 1, 106 ], [ 3, 134 ] ] 
16 17 412 [ [ -2, 16 ], [ 1, 110 ], [ 3, 130 ] ] 
17 18 474 [ [ -2, 17 ], [ 1, 134 ], [ 3, 138 ] ] 
17 18 825 [ [ -2, 17 ], [ 1, 138 ], [ 3, 134 ] ] 
17 18 462 [ [ -2, 17 ], [ 1, 132 ], [ 3, 140 ] ] 
16 17 477 [ [ -2, 16 ], [ 1, 112 ], [ 3, 128 ] ] 
16 17 492 [ [ -2, 16 ], [ 1, 108 ], [ 3, 132 ] ] 
15 16 441 [ [ -2, 15 ], [ 1, 94 ], [ 3, 116 ] ] 
16 17 433 [ [ -2, 16 ], [ 1, 108 ], [ 3, 132 ] ] 
16 17 433 [ [ -2, 16 ], [ 1, 114 ], [ 3, 126 ] ] 
16 17 633 [ [ -2, 16 ], [ 1, 124 ], [ 3, 116 ] ] 
15 16 403 [ [ -2, 15 ], [ 1, 100 ], [ 3, 110 ] ] 
16 17 598 [ [ -2, 16 ], [ 1, 118 ], [ 3, 122 ] ] 
16 17 439 [ [ -2, 16 ], [ 1, 112 ], [ 3, 128 ] ] 
16 17 445 [ [ -2, 16 ], [ 1, 112 ], [ 3, 128 ] ] 
16 17 573 [ [ -2, 16 ], [ 1, 120 ], [ 3, 120 ] ] 
16 17 486 [ [ -2, 16 ], [ 1, 126 ], [ 3, 114 ] ] 
17 18 525 [ [ -2, 17 ], [ 1, 132 ], [ 3, 140 ] ] 
16 17 427 [ [ -2, 16 ], [ 1, 132 ], [ 3, 108 ] ] 
17 18 614 [ [ -2, 17 ], [ 1, 150 ], [ 3, 122 ] ] 
17 18 614 [ [ -2, 17 ], [ 1, 138 ], [ 3, 134 ] ] 
17 18 499 [ [ -2, 17 ], [ 1, 134 ], [ 3, 138 ] ] 
16 17 482 [ [ -2, 16 ], [ 1, 116 ], [ 3, 124 ] ] 
16 17 419 [ [ -2, 16 ], [ 1, 110 ], [ 3, 130 ] ] 
16 17 408 [ [ -2, 16 ], [ 1, 114 ], [ 3, 126 ] ] 
15 16 407 [ [ -2, 15 ], [ 1, 94 ], [ 3, 116 ] ] 
15 16 444 [ [ -2, 15 ], [ 1, 114 ], [ 3, 96 ] ] 
16 17 610 [ [ -2, 16 ], [ 1, 104 ], [ 3, 136 ] ] 
16 17 433 [ [ -2, 16 ], [ 1, 114 ], [ 3, 126 ] ] 
15 16 436 [ [ -2, 15 ], [ 1, 88 ], [ 3, 122 ] ] 
16 17 665 [ [ -2, 16 ], [ 1, 102 ], [ 3, 138 ] ] 
15 16 436 [ [ -2, 15 ], [ 1, 88 ], [ 3, 122 ] ] 
16 17 665 [ [ -2, 16 ], [ 1, 102 ], [ 3, 138 ] ] 
15 16 466 [ [ -2, 15 ], [ 1, 94 ], [ 3, 116 ] ] 
15 16 407 [ [ -2, 15 ], [ 1, 102 ], [ 3, 108 ] ] 
17 18 402 [ [ -2, 17 ], [ 1, 136 ], [ 3, 136 ] ] 
17 18 483 [ [ -2, 17 ], [ 1, 132 ], [ 3, 140 ] ] 
16 17 465 [ [ -2, 16 ], [ 1, 118 ], [ 3, 122 ] ] 
17 18 454 [ [ -2, 17 ], [ 1, 122 ], [ 3, 150 ] ] 
16 17 401 [ [ -2, 16 ], [ 1, 136 ], [ 3, 104 ] ] 
17 18 557 [ [ -2, 17 ], [ 1, 124 ], [ 3, 148 ] ] 
16 17 483 [ [ -2, 16 ], [ 1, 126 ], [ 3, 114 ] ] 
16 17 444 [ [ -2, 16 ], [ 1, 106 ], [ 3, 134 ] ] 
16 17 453 [ [ -2, 16 ], [ 1, 122 ], [ 3, 118 ] ] 
16 17 644 [ [ -2, 16 ], [ 1, 110 ], [ 3, 130 ] ] 
17 18 462 [ [ -2, 17 ], [ 1, 136 ], [ 3, 136 ] ] 
16 17 547 [ [ -2, 16 ], [ 1, 110 ], [ 3, 130 ] ] 
17 18 878 [ [ -2, 17 ], [ 1, 120 ], [ 3, 152 ] ] 
15 16 470 [ [ -2, 15 ], [ 1, 94 ], [ 3, 116 ] ] 
15 16 404 [ [ -2, 15 ], [ 1, 90 ], [ 3, 120 ] ] 
16 17 477 [ [ -2, 16 ], [ 1, 104 ], [ 3, 136 ] ] 
15 16 404 [ [ -2, 15 ], [ 1, 90 ], [ 3, 120 ] ] 
17 18 417 [ [ -2, 17 ], [ 1, 122 ], [ 3, 150 ] ] 
17 18 761 [ [ -2, 17 ], [ 1, 122 ], [ 3, 150 ] ] 
17 18 580 [ [ -2, 17 ], [ 1, 126 ], [ 3, 146 ] ] 
17 18 471 [ [ -2, 17 ], [ 1, 136 ], [ 3, 136 ] ] 
17 18 514 [ [ -2, 17 ], [ 1, 140 ], [ 3, 132 ] ] 
16 17 469 [ [ -2, 16 ], [ 1, 104 ], [ 3, 136 ] ] 
16 17 524 [ [ -2, 16 ], [ 1, 112 ], [ 3, 128 ] ] 
17 18 443 [ [ -2, 17 ], [ 1, 150 ], [ 3, 122 ] ] 
16 17 491 [ [ -2, 16 ], [ 1, 104 ], [ 3, 136 ] ] 
16 17 739 [ [ -2, 16 ], [ 1, 108 ], [ 3, 132 ] ] 
15 16 416 [ [ -2, 15 ], [ 1, 96 ], [ 3, 114 ] ] 
16 17 411 [ [ -2, 16 ], [ 1, 108 ], [ 3, 132 ] ] 
17 18 521 [ [ -2, 17 ], [ 1, 132 ], [ 3, 140 ] ] 
16 17 521 [ [ -2, 16 ], [ 1, 118 ], [ 3, 122 ] ] 
