sessionnumb  20260923124848 
17 18 349 [ [ -2, 17 ], [ 1, 142 ], [ 3, 130 ] ] 
17 18 349 [ [ -2, 17 ], [ 1, 142 ], [ 3, 130 ] ] 
17 18 302 [ [ -2, 17 ], [ 1, 134 ], [ 3, 138 ] ] 
18 19 643 [ [ -2, 18 ], [ 1, 156 ], [ 3, 150 ] ] 
18 19 510 [ [ -2, 18 ], [ 1, 168 ], [ 3, 138 ] ] 
18 19 726 [ [ -2, 18 ], [ 1, 162 ], [ 3, 144 ] ] 
18 19 726 [ [ -2, 18 ], [ 1, 156 ], [ 3, 150 ] ] 
15 16 350 [ [ -2, 15 ], [ 1, 116 ], [ 3, 94 ] ] 
18 19 464 [ [ -2, 18 ], [ 1, 166 ], [ 3, 140 ] ] 
18 19 384 [ [ -2, 18 ], [ 1, 166 ], [ 3, 140 ] ] 
18 19 464 [ [ -2, 18 ], [ 1, 164 ], [ 3, 142 ] ] 
18 19 384 [ [ -2, 18 ], [ 1, 164 ], [ 3, 142 ] ] 
17 18 464 [ [ -2, 17 ], [ 1, 158 ], [ 3, 114 ] ] 
15 16 333 [ [ -2, 15 ], [ 1, 126 ], [ 3, 84 ] ] 
16 17 469 [ [ -2, 16 ], [ 1, 120 ], [ 3, 120 ] ] 
17 18 794 [ [ -2, 17 ], [ 1, 138 ], [ 3, 134 ] ] 
16 17 437 [ [ -2, 16 ], [ 1, 120 ], [ 3, 120 ] ] 
17 18 391 [ [ -2, 17 ], [ 1, 138 ], [ 3, 134 ] ] 
17 18 632 [ [ -2, 17 ], [ 1, 134 ], [ 3, 138 ] ] 
17 18 632 [ [ -2, 17 ], [ 1, 134 ], [ 3, 138 ] ] 
16 17 774 [ [ -2, 16 ], [ 1, 126 ], [ 3, 114 ] ] 
16 17 505 [ [ -2, 16 ], [ 1, 138 ], [ 3, 102 ] ] 
16 17 687 [ [ -2, 16 ], [ 1, 140 ], [ 3, 100 ] ] 
17 18 949 [ [ -2, 17 ], [ 1, 154 ], [ 3, 118 ] ] 
17 18 949 [ [ -2, 17 ], [ 1, 154 ], [ 3, 118 ] ] 
17 18 949 [ [ -2, 17 ], [ 1, 154 ], [ 3, 118 ] ] 
15 16 369 [ [ -2, 15 ], [ 1, 106 ], [ 3, 104 ] ] 
17 18 689 [ [ -2, 17 ], [ 1, 136 ], [ 3, 136 ] ] 
18 19 932 [ [ -2, 18 ], [ 1, 156 ], [ 3, 150 ] ] 
18 19 932 [ [ -2, 18 ], [ 1, 150 ], [ 3, 156 ] ] 
17 18 689 [ [ -2, 17 ], [ 1, 136 ], [ 3, 136 ] ] 
18 19 932 [ [ -2, 18 ], [ 1, 150 ], [ 3, 156 ] ] 
16 17 395 [ [ -2, 16 ], [ 1, 132 ], [ 3, 108 ] ] 
17 18 587 [ [ -2, 17 ], [ 1, 152 ], [ 3, 120 ] ] 
16 17 395 [ [ -2, 16 ], [ 1, 132 ], [ 3, 108 ] ] 
17 18 587 [ [ -2, 17 ], [ 1, 152 ], [ 3, 120 ] ] 
16 17 357 [ [ -2, 16 ], [ 1, 126 ], [ 3, 114 ] ] 
16 17 357 [ [ -2, 16 ], [ 1, 132 ], [ 3, 108 ] ] 
16 17 357 [ [ -2, 16 ], [ 1, 126 ], [ 3, 114 ] ] 
17 18 503 [ [ -2, 17 ], [ 1, 142 ], [ 3, 130 ] ] 
15 16 329 [ [ -2, 15 ], [ 1, 114 ], [ 3, 96 ] ] 
16 17 382 [ [ -2, 16 ], [ 1, 128 ], [ 3, 112 ] ] 
17 18 583 [ [ -2, 17 ], [ 1, 140 ], [ 3, 132 ] ] 
16 17 382 [ [ -2, 16 ], [ 1, 128 ], [ 3, 112 ] ] 
16 17 478 [ [ -2, 16 ], [ 1, 122 ], [ 3, 118 ] ] 
16 17 456 [ [ -2, 16 ], [ 1, 124 ], [ 3, 116 ] ] 
15 16 329 [ [ -2, 15 ], [ 1, 104 ], [ 3, 106 ] ] 
16 17 567 [ [ -2, 16 ], [ 1, 120 ], [ 3, 120 ] ] 
16 17 400 [ [ -2, 16 ], [ 1, 138 ], [ 3, 102 ] ] 
14 15 329 [ [ -2, 14 ], [ 1, 92 ], [ 3, 90 ] ] 
15 16 394 [ [ -2, 15 ], [ 1, 112 ], [ 3, 98 ] ] 
16 17 447 [ [ -2, 16 ], [ 1, 128 ], [ 3, 112 ] ] 
15 16 360 [ [ -2, 15 ], [ 1, 120 ], [ 3, 90 ] ] 
15 16 360 [ [ -2, 15 ], [ 1, 120 ], [ 3, 90 ] ] 
16 17 420 [ [ -2, 16 ], [ 1, 140 ], [ 3, 100 ] ] 
17 18 661 [ [ -2, 17 ], [ 1, 164 ], [ 3, 108 ] ] 
16 17 420 [ [ -2, 16 ], [ 1, 140 ], [ 3, 100 ] ] 
16 17 445 [ [ -2, 16 ], [ 1, 130 ], [ 3, 110 ] ] 
17 18 671 [ [ -2, 17 ], [ 1, 138 ], [ 3, 134 ] ] 
15 16 368 [ [ -2, 15 ], [ 1, 122 ], [ 3, 88 ] ] 
16 17 686 [ [ -2, 16 ], [ 1, 132 ], [ 3, 108 ] ] 
15 16 314 [ [ -2, 15 ], [ 1, 110 ], [ 3, 100 ] ] 
15 16 389 [ [ -2, 15 ], [ 1, 108 ], [ 3, 102 ] ] 
16 17 301 [ [ -2, 16 ], [ 1, 136 ], [ 3, 104 ] ] 
17 18 729 [ [ -2, 17 ], [ 1, 146 ], [ 3, 126 ] ] 
16 17 355 [ [ -2, 16 ], [ 1, 128 ], [ 3, 112 ] ] 
16 17 433 [ [ -2, 16 ], [ 1, 134 ], [ 3, 106 ] ] 
15 16 317 [ [ -2, 15 ], [ 1, 122 ], [ 3, 88 ] ] 
15 16 334 [ [ -2, 15 ], [ 1, 118 ], [ 3, 92 ] ] 
16 17 404 [ [ -2, 16 ], [ 1, 134 ], [ 3, 106 ] ] 
16 17 322 [ [ -2, 16 ], [ 1, 118 ], [ 3, 122 ] ] 
17 18 333 [ [ -2, 17 ], [ 1, 136 ], [ 3, 136 ] ] 
16 17 427 [ [ -2, 16 ], [ 1, 118 ], [ 3, 122 ] ] 
16 17 502 [ [ -2, 16 ], [ 1, 122 ], [ 3, 118 ] ] 
16 17 388 [ [ -2, 16 ], [ 1, 132 ], [ 3, 108 ] ] 
