sessionnumb  20260923124908 
17 18 419 [ [ -2, 17 ], [ 1, 142 ], [ 3, 130 ] ] 
17 18 328 [ [ -2, 17 ], [ 1, 146 ], [ 3, 126 ] ] 
17 18 419 [ [ -2, 17 ], [ 1, 138 ], [ 3, 134 ] ] 
17 18 667 [ [ -2, 17 ], [ 1, 148 ], [ 3, 124 ] ] 
17 18 345 [ [ -2, 17 ], [ 1, 152 ], [ 3, 120 ] ] 
16 17 380 [ [ -2, 16 ], [ 1, 130 ], [ 3, 110 ] ] 
17 18 959 [ [ -2, 17 ], [ 1, 146 ], [ 3, 126 ] ] 
17 18 347 [ [ -2, 17 ], [ 1, 142 ], [ 3, 130 ] ] 
17 18 794 [ [ -2, 17 ], [ 1, 150 ], [ 3, 122 ] ] 
17 18 794 [ [ -2, 17 ], [ 1, 134 ], [ 3, 138 ] ] 
16 17 691 [ [ -2, 16 ], [ 1, 124 ], [ 3, 116 ] ] 
16 17 322 [ [ -2, 16 ], [ 1, 130 ], [ 3, 110 ] ] 
17 18 416 [ [ -2, 17 ], [ 1, 142 ], [ 3, 130 ] ] 
17 18 373 [ [ -2, 17 ], [ 1, 148 ], [ 3, 124 ] ] 
17 18 373 [ [ -2, 17 ], [ 1, 152 ], [ 3, 120 ] ] 
17 18 416 [ [ -2, 17 ], [ 1, 146 ], [ 3, 126 ] ] 
16 17 488 [ [ -2, 16 ], [ 1, 138 ], [ 3, 102 ] ] 
17 18 529 [ [ -2, 17 ], [ 1, 150 ], [ 3, 122 ] ] 
17 18 529 [ [ -2, 17 ], [ 1, 158 ], [ 3, 114 ] ] 
17 18 529 [ [ -2, 17 ], [ 1, 150 ], [ 3, 122 ] ] 
17 18 529 [ [ -2, 17 ], [ 1, 150 ], [ 3, 122 ] ] 
17 18 529 [ [ -2, 17 ], [ 1, 150 ], [ 3, 122 ] ] 
17 18 863 [ [ -2, 17 ], [ 1, 144 ], [ 3, 128 ] ] 
16 17 341 [ [ -2, 16 ], [ 1, 132 ], [ 3, 108 ] ] 
17 18 373 [ [ -2, 17 ], [ 1, 160 ], [ 3, 112 ] ] 
17 18 863 [ [ -2, 17 ], [ 1, 160 ], [ 3, 112 ] ] 
17 18 417 [ [ -2, 17 ], [ 1, 160 ], [ 3, 112 ] ] 
18 19 685 [ [ -2, 18 ], [ 1, 180 ], [ 3, 126 ] ] 
