sessionnumb  20260924122145 
15 16 447 [ [ -2, 15 ], [ 1, 106 ], [ 3, 104 ] ] 
16 17 545 [ [ -2, 16 ], [ 1, 122 ], [ 3, 118 ] ] 
15 16 466 [ [ -2, 15 ], [ 1, 90 ], [ 3, 120 ] ] 
16 17 504 [ [ -2, 16 ], [ 1, 108 ], [ 3, 132 ] ] 
16 17 458 [ [ -2, 16 ], [ 1, 126 ], [ 3, 114 ] ] 
16 17 804 [ [ -2, 16 ], [ 1, 114 ], [ 3, 126 ] ] 
16 17 476 [ [ -2, 16 ], [ 1, 110 ], [ 3, 130 ] ] 
16 17 467 [ [ -2, 16 ], [ 1, 104 ], [ 3, 136 ] ] 
16 17 559 [ [ -2, 16 ], [ 1, 114 ], [ 3, 126 ] ] 
16 17 559 [ [ -2, 16 ], [ 1, 108 ], [ 3, 132 ] ] 
16 17 532 [ [ -2, 16 ], [ 1, 130 ], [ 3, 110 ] ] 
15 16 443 [ [ -2, 15 ], [ 1, 102 ], [ 3, 108 ] ] 
16 17 712 [ [ -2, 16 ], [ 1, 122 ], [ 3, 118 ] ] 
17 18 503 [ [ -2, 17 ], [ 1, 132 ], [ 3, 140 ] ] 
16 17 533 [ [ -2, 16 ], [ 1, 110 ], [ 3, 130 ] ] 
16 17 409 [ [ -2, 16 ], [ 1, 110 ], [ 3, 130 ] ] 
16 17 452 [ [ -2, 16 ], [ 1, 110 ], [ 3, 130 ] ] 
16 17 577 [ [ -2, 16 ], [ 1, 104 ], [ 3, 136 ] ] 
17 18 499 [ [ -2, 17 ], [ 1, 136 ], [ 3, 136 ] ] 
15 16 412 [ [ -2, 15 ], [ 1, 102 ], [ 3, 108 ] ] 
16 17 474 [ [ -2, 16 ], [ 1, 116 ], [ 3, 124 ] ] 
16 17 455 [ [ -2, 16 ], [ 1, 112 ], [ 3, 128 ] ] 
16 17 479 [ [ -2, 16 ], [ 1, 112 ], [ 3, 128 ] ] 
16 17 415 [ [ -2, 16 ], [ 1, 106 ], [ 3, 134 ] ] 
17 18 784 [ [ -2, 17 ], [ 1, 120 ], [ 3, 152 ] ] 
16 17 469 [ [ -2, 16 ], [ 1, 96 ], [ 3, 144 ] ] 
17 18 424 [ [ -2, 17 ], [ 1, 130 ], [ 3, 142 ] ] 
17 18 424 [ [ -2, 17 ], [ 1, 134 ], [ 3, 138 ] ] 
16 17 428 [ [ -2, 16 ], [ 1, 108 ], [ 3, 132 ] ] 
17 18 410 [ [ -2, 17 ], [ 1, 140 ], [ 3, 132 ] ] 
16 17 404 [ [ -2, 16 ], [ 1, 132 ], [ 3, 108 ] ] 
18 19 779 [ [ -2, 18 ], [ 1, 144 ], [ 3, 162 ] ] 
17 18 696 [ [ -2, 17 ], [ 1, 126 ], [ 3, 146 ] ] 
15 16 448 [ [ -2, 15 ], [ 1, 104 ], [ 3, 106 ] ] 
17 18 418 [ [ -2, 17 ], [ 1, 140 ], [ 3, 132 ] ] 
16 17 470 [ [ -2, 16 ], [ 1, 116 ], [ 3, 124 ] ] 
17 18 839 [ [ -2, 17 ], [ 1, 128 ], [ 3, 144 ] ] 
15 16 462 [ [ -2, 15 ], [ 1, 114 ], [ 3, 96 ] ] 
16 17 466 [ [ -2, 16 ], [ 1, 116 ], [ 3, 124 ] ] 
16 17 489 [ [ -2, 16 ], [ 1, 114 ], [ 3, 126 ] ] 
16 17 626 [ [ -2, 16 ], [ 1, 110 ], [ 3, 130 ] ] 
17 18 455 [ [ -2, 17 ], [ 1, 142 ], [ 3, 130 ] ] 
16 17 422 [ [ -2, 16 ], [ 1, 110 ], [ 3, 130 ] ] 
15 16 447 [ [ -2, 15 ], [ 1, 96 ], [ 3, 114 ] ] 
15 16 425 [ [ -2, 15 ], [ 1, 84 ], [ 3, 126 ] ] 
17 18 429 [ [ -2, 17 ], [ 1, 124 ], [ 3, 148 ] ] 
17 18 413 [ [ -2, 17 ], [ 1, 126 ], [ 3, 146 ] ] 
17 18 413 [ [ -2, 17 ], [ 1, 126 ], [ 3, 146 ] ] 
15 16 416 [ [ -2, 15 ], [ 1, 106 ], [ 3, 104 ] ] 
16 17 711 [ [ -2, 16 ], [ 1, 126 ], [ 3, 114 ] ] 
17 18 741 [ [ -2, 17 ], [ 1, 142 ], [ 3, 130 ] ] 
16 17 495 [ [ -2, 16 ], [ 1, 104 ], [ 3, 136 ] ] 
17 18 407 [ [ -2, 17 ], [ 1, 140 ], [ 3, 132 ] ] 
16 17 534 [ [ -2, 16 ], [ 1, 110 ], [ 3, 130 ] ] 
16 17 431 [ [ -2, 16 ], [ 1, 118 ], [ 3, 122 ] ] 
15 16 421 [ [ -2, 15 ], [ 1, 90 ], [ 3, 120 ] ] 
15 16 435 [ [ -2, 15 ], [ 1, 100 ], [ 3, 110 ] ] 
17 18 814 [ [ -2, 17 ], [ 1, 124 ], [ 3, 148 ] ] 
17 18 427 [ [ -2, 17 ], [ 1, 134 ], [ 3, 138 ] ] 
15 16 446 [ [ -2, 15 ], [ 1, 98 ], [ 3, 112 ] ] 
15 16 444 [ [ -2, 15 ], [ 1, 98 ], [ 3, 112 ] ] 
16 17 638 [ [ -2, 16 ], [ 1, 126 ], [ 3, 114 ] ] 
15 16 461 [ [ -2, 15 ], [ 1, 108 ], [ 3, 102 ] ] 
16 17 551 [ [ -2, 16 ], [ 1, 116 ], [ 3, 124 ] ] 
16 17 436 [ [ -2, 16 ], [ 1, 124 ], [ 3, 116 ] ] 
17 18 416 [ [ -2, 17 ], [ 1, 142 ], [ 3, 130 ] ] 
17 18 628 [ [ -2, 17 ], [ 1, 148 ], [ 3, 124 ] ] 
17 18 538 [ [ -2, 17 ], [ 1, 134 ], [ 3, 138 ] ] 
17 18 426 [ [ -2, 17 ], [ 1, 128 ], [ 3, 144 ] ] 
16 17 431 [ [ -2, 16 ], [ 1, 140 ], [ 3, 100 ] ] 
15 16 414 [ [ -2, 15 ], [ 1, 114 ], [ 3, 96 ] ] 
15 16 461 [ [ -2, 15 ], [ 1, 108 ], [ 3, 102 ] ] 
17 18 669 [ [ -2, 17 ], [ 1, 150 ], [ 3, 122 ] ] 
15 16 427 [ [ -2, 15 ], [ 1, 100 ], [ 3, 110 ] ] 
15 16 438 [ [ -2, 15 ], [ 1, 106 ], [ 3, 104 ] ] 
16 17 429 [ [ -2, 16 ], [ 1, 114 ], [ 3, 126 ] ] 
15 16 407 [ [ -2, 15 ], [ 1, 114 ], [ 3, 96 ] ] 
16 17 614 [ [ -2, 16 ], [ 1, 122 ], [ 3, 118 ] ] 
17 18 711 [ [ -2, 17 ], [ 1, 152 ], [ 3, 120 ] ] 
15 16 409 [ [ -2, 15 ], [ 1, 116 ], [ 3, 94 ] ] 
16 17 453 [ [ -2, 16 ], [ 1, 124 ], [ 3, 116 ] ] 
17 18 467 [ [ -2, 17 ], [ 1, 132 ], [ 3, 140 ] ] 
17 18 892 [ [ -2, 17 ], [ 1, 134 ], [ 3, 138 ] ] 
18 19 1296 [ [ -2, 18 ], [ 1, 154 ], [ 3, 152 ] ] 
17 18 467 [ [ -2, 17 ], [ 1, 124 ], [ 3, 148 ] ] 
15 16 443 [ [ -2, 15 ], [ 1, 110 ], [ 3, 100 ] ] 
15 16 454 [ [ -2, 15 ], [ 1, 114 ], [ 3, 96 ] ] 
16 17 568 [ [ -2, 16 ], [ 1, 112 ], [ 3, 128 ] ] 
16 17 463 [ [ -2, 16 ], [ 1, 112 ], [ 3, 128 ] ] 
16 17 712 [ [ -2, 16 ], [ 1, 122 ], [ 3, 118 ] ] 
16 17 455 [ [ -2, 16 ], [ 1, 128 ], [ 3, 112 ] ] 
15 16 500 [ [ -2, 15 ], [ 1, 120 ], [ 3, 90 ] ] 
16 17 501 [ [ -2, 16 ], [ 1, 120 ], [ 3, 120 ] ] 
16 17 546 [ [ -2, 16 ], [ 1, 118 ], [ 3, 122 ] ] 
16 17 534 [ [ -2, 16 ], [ 1, 106 ], [ 3, 134 ] ] 
16 17 708 [ [ -2, 16 ], [ 1, 134 ], [ 3, 106 ] ] 
17 18 404 [ [ -2, 17 ], [ 1, 134 ], [ 3, 138 ] ] 
16 17 438 [ [ -2, 16 ], [ 1, 110 ], [ 3, 130 ] ] 
15 16 429 [ [ -2, 15 ], [ 1, 124 ], [ 3, 86 ] ] 
16 17 509 [ [ -2, 16 ], [ 1, 142 ], [ 3, 98 ] ] 
15 16 405 [ [ -2, 15 ], [ 1, 96 ], [ 3, 114 ] ] 
15 16 401 [ [ -2, 15 ], [ 1, 114 ], [ 3, 96 ] ] 
16 17 412 [ [ -2, 16 ], [ 1, 118 ], [ 3, 122 ] ] 
16 17 407 [ [ -2, 16 ], [ 1, 116 ], [ 3, 124 ] ] 
16 17 407 [ [ -2, 16 ], [ 1, 124 ], [ 3, 116 ] ] 
