sessionnumb  20260924122132 
16 17 531 [ [ -2, 16 ], [ 1, 132 ], [ 3, 108 ] ] 
16 17 531 [ [ -2, 16 ], [ 1, 132 ], [ 3, 108 ] ] 
17 18 699 [ [ -2, 17 ], [ 1, 146 ], [ 3, 126 ] ] 
16 17 413 [ [ -2, 16 ], [ 1, 136 ], [ 3, 104 ] ] 
17 18 637 [ [ -2, 17 ], [ 1, 158 ], [ 3, 114 ] ] 
17 18 537 [ [ -2, 17 ], [ 1, 158 ], [ 3, 114 ] ] 
17 18 439 [ [ -2, 17 ], [ 1, 160 ], [ 3, 112 ] ] 
16 17 468 [ [ -2, 16 ], [ 1, 152 ], [ 3, 88 ] ] 
16 17 439 [ [ -2, 16 ], [ 1, 130 ], [ 3, 110 ] ] 
16 17 416 [ [ -2, 16 ], [ 1, 128 ], [ 3, 112 ] ] 
17 18 589 [ [ -2, 17 ], [ 1, 160 ], [ 3, 112 ] ] 
15 16 407 [ [ -2, 15 ], [ 1, 110 ], [ 3, 100 ] ] 
15 16 423 [ [ -2, 15 ], [ 1, 104 ], [ 3, 106 ] ] 
16 17 648 [ [ -2, 16 ], [ 1, 124 ], [ 3, 116 ] ] 
16 17 649 [ [ -2, 16 ], [ 1, 138 ], [ 3, 102 ] ] 
16 17 599 [ [ -2, 16 ], [ 1, 154 ], [ 3, 86 ] ] 
16 17 409 [ [ -2, 16 ], [ 1, 128 ], [ 3, 112 ] ] 
15 16 459 [ [ -2, 15 ], [ 1, 128 ], [ 3, 82 ] ] 
16 17 449 [ [ -2, 16 ], [ 1, 126 ], [ 3, 114 ] ] 
16 17 517 [ [ -2, 16 ], [ 1, 130 ], [ 3, 110 ] ] 
16 17 404 [ [ -2, 16 ], [ 1, 148 ], [ 3, 92 ] ] 
17 18 638 [ [ -2, 17 ], [ 1, 158 ], [ 3, 114 ] ] 
16 17 436 [ [ -2, 16 ], [ 1, 120 ], [ 3, 120 ] ] 
16 17 542 [ [ -2, 16 ], [ 1, 126 ], [ 3, 114 ] ] 
15 16 443 [ [ -2, 15 ], [ 1, 120 ], [ 3, 90 ] ] 
16 17 419 [ [ -2, 16 ], [ 1, 142 ], [ 3, 98 ] ] 
16 17 495 [ [ -2, 16 ], [ 1, 132 ], [ 3, 108 ] ] 
