sessionnumb  20260923124657 
15 16 442 [ [ -2, 15 ], [ 1, 104 ], [ 3, 106 ] ] 
16 17 758 [ [ -2, 16 ], [ 1, 118 ], [ 3, 122 ] ] 
15 16 354 [ [ -2, 15 ], [ 1, 102 ], [ 3, 108 ] ] 
16 17 473 [ [ -2, 16 ], [ 1, 114 ], [ 3, 126 ] ] 
16 17 473 [ [ -2, 16 ], [ 1, 120 ], [ 3, 120 ] ] 
16 17 397 [ [ -2, 16 ], [ 1, 118 ], [ 3, 122 ] ] 
16 17 542 [ [ -2, 16 ], [ 1, 120 ], [ 3, 120 ] ] 
17 18 616 [ [ -2, 17 ], [ 1, 132 ], [ 3, 140 ] ] 
17 18 616 [ [ -2, 17 ], [ 1, 128 ], [ 3, 144 ] ] 
16 17 542 [ [ -2, 16 ], [ 1, 116 ], [ 3, 124 ] ] 
16 17 403 [ [ -2, 16 ], [ 1, 108 ], [ 3, 132 ] ] 
16 17 353 [ [ -2, 16 ], [ 1, 106 ], [ 3, 134 ] ] 
17 18 637 [ [ -2, 17 ], [ 1, 124 ], [ 3, 148 ] ] 
17 18 593 [ [ -2, 17 ], [ 1, 122 ], [ 3, 150 ] ] 
17 18 1028 [ [ -2, 17 ], [ 1, 128 ], [ 3, 144 ] ] 
16 17 353 [ [ -2, 16 ], [ 1, 116 ], [ 3, 124 ] ] 
17 18 593 [ [ -2, 17 ], [ 1, 134 ], [ 3, 138 ] ] 
16 17 616 [ [ -2, 16 ], [ 1, 110 ], [ 3, 130 ] ] 
17 18 754 [ [ -2, 17 ], [ 1, 120 ], [ 3, 152 ] ] 
16 17 616 [ [ -2, 16 ], [ 1, 110 ], [ 3, 130 ] ] 
16 17 620 [ [ -2, 16 ], [ 1, 112 ], [ 3, 128 ] ] 
15 16 465 [ [ -2, 15 ], [ 1, 92 ], [ 3, 118 ] ] 
16 17 620 [ [ -2, 16 ], [ 1, 112 ], [ 3, 128 ] ] 
16 17 465 [ [ -2, 16 ], [ 1, 108 ], [ 3, 132 ] ] 
17 18 690 [ [ -2, 17 ], [ 1, 122 ], [ 3, 150 ] ] 
17 18 739 [ [ -2, 17 ], [ 1, 126 ], [ 3, 146 ] ] 
16 17 428 [ [ -2, 16 ], [ 1, 110 ], [ 3, 130 ] ] 
17 18 628 [ [ -2, 17 ], [ 1, 128 ], [ 3, 144 ] ] 
17 18 628 [ [ -2, 17 ], [ 1, 128 ], [ 3, 144 ] ] 
17 18 1028 [ [ -2, 17 ], [ 1, 120 ], [ 3, 152 ] ] 
17 18 690 [ [ -2, 17 ], [ 1, 126 ], [ 3, 146 ] ] 
16 17 428 [ [ -2, 16 ], [ 1, 110 ], [ 3, 130 ] ] 
17 18 690 [ [ -2, 17 ], [ 1, 126 ], [ 3, 146 ] ] 
16 17 421 [ [ -2, 16 ], [ 1, 110 ], [ 3, 130 ] ] 
17 18 550 [ [ -2, 17 ], [ 1, 126 ], [ 3, 146 ] ] 
16 17 426 [ [ -2, 16 ], [ 1, 116 ], [ 3, 124 ] ] 
16 17 586 [ [ -2, 16 ], [ 1, 116 ], [ 3, 124 ] ] 
15 16 358 [ [ -2, 15 ], [ 1, 102 ], [ 3, 108 ] ] 
17 18 476 [ [ -2, 17 ], [ 1, 134 ], [ 3, 138 ] ] 
17 18 476 [ [ -2, 17 ], [ 1, 134 ], [ 3, 138 ] ] 
17 18 538 [ [ -2, 17 ], [ 1, 138 ], [ 3, 134 ] ] 
15 16 350 [ [ -2, 15 ], [ 1, 98 ], [ 3, 112 ] ] 
16 17 486 [ [ -2, 16 ], [ 1, 118 ], [ 3, 122 ] ] 
16 17 504 [ [ -2, 16 ], [ 1, 112 ], [ 3, 128 ] ] 
15 16 311 [ [ -2, 15 ], [ 1, 104 ], [ 3, 106 ] ] 
15 16 350 [ [ -2, 15 ], [ 1, 98 ], [ 3, 112 ] ] 
16 17 437 [ [ -2, 16 ], [ 1, 110 ], [ 3, 130 ] ] 
15 16 347 [ [ -2, 15 ], [ 1, 106 ], [ 3, 104 ] ] 
16 17 343 [ [ -2, 16 ], [ 1, 124 ], [ 3, 116 ] ] 
16 17 493 [ [ -2, 16 ], [ 1, 114 ], [ 3, 126 ] ] 
17 18 665 [ [ -2, 17 ], [ 1, 128 ], [ 3, 144 ] ] 
16 17 477 [ [ -2, 16 ], [ 1, 108 ], [ 3, 132 ] ] 
